149.104.1.117:8443#HK_1 [] [32ms 43Mbps]
68.64.183.37:443#HK_2 [] [46ms 25Mbps]
45.144.137.68:443#HK_3 [] [46ms 20Mbps]
91.110.174.210:8443#HK_4 [] [47ms 20Mbps]
103.30.78.52:443#HK_5 [] [47ms 16Mbps]
149.104.25.194:443#HK_6 [] [47ms 15Mbps]
68.64.182.79:443#HK_7 [] [62ms 17Mbps]
103.143.81.178:443#HK_8 [] [78ms 18Mbps]
18.180.147.187:8443#JP_1 [] [78ms 22Mbps]
52.197.46.127:443#JP_2 [] [78ms 17Mbps]
52.195.211.96:443#JP_3 [] [78ms 17Mbps]
52.194.242.121:443#JP_4 [] [78ms 15Mbps]
54.180.147.65:443#KR_1 [] [78ms 14Mbps]
54.180.151.15:443#KR_2 [] [94ms 16Mbps]
54.180.141.246:443#KR_3 [] [94ms 15Mbps]
54.180.94.34:443#KR_4 [] [94ms 14Mbps]
54.180.236.101:443#KR_5 [] [94ms 13Mbps]
43.202.100.171:443#KR_6 [] [110ms 14Mbps]
43.203.221.104:443#KR_7 [] [110ms 14Mbps]
13.124.169.29:443#KR_8 [] [188ms 13Mbps]
13.125.40.229:443#KR_9 [] [188ms 13Mbps]
13.125.127.161:443#KR_10 [] [188ms 13Mbps]
54.255.53.198:443#SG_1 [] [62ms 16Mbps]
54.254.236.209:443#SG_2 [] [63ms 28Mbps]
18.139.163.28:443#SG_3 [] [78ms 19Mbps]
54.254.226.116:443#SG_4 [] [78ms 17Mbps]
18.138.81.40:443#SG_5 [] [78ms 16Mbps]
54.179.62.165:443#SG_6 [] [78ms 15Mbps]
54.254.185.61:443#SG_7 [] [78ms 13Mbps]
103.137.22.71:443#TW_1 [] [78ms 15Mbps]
